index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
197,1967,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",eng,Intermediate,4.19,125668,fiction,2375.24,1425.144,4.99,214,Hachette Book Group,476
198,1989,Hyperion,Dan Simmons,eng,Intermediate,4.21,122225,fiction,470.25,0,0.99,215,"Amazon Digital Services,  Inc.",475
199,1947,The Pearl of the World,John Steinbeck,eng,Novice,3.41,133264,fiction,470.25,282.15,0.99,215,"Amazon Digital Services,  Inc.",475
200,1971,The Exorcist,William Peter Blatty,en-US,Intermediate,4.14,124467,fiction,1399.32,0,2.99,219,"Amazon Digital Services,  Inc.",468
201,2009,The Short Second Life of Bree Tanner,Stephenie Meyer,eng,Intermediate,3.51,145874,fiction,461.34,0,0.99,220,"Amazon Digital Services,  Inc.",466
202,1994,Snow Falling on Cedars,David Guterson,eng,Intermediate,3.8,131945,fiction,1393.34,0,2.99,220,"Amazon Digital Services,  Inc.",466
203,1976,Roots,Alex Haley,en-US,Famous,4.42,118951,fiction,460.35,276.21,0.99,221,Macmillan,465
204,1988,Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",eng,Intermediate,4.36,113855,fiction,455.4,273.24,0.99,224,Random House LLC,460
205,1952,Invisible Man,Ralph Ellison,eng,Intermediate,3.84,123073,fiction,455.4,0,0.99,224,"Amazon Digital Services,  Inc.",460
206,2007,A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,en-US,Intermediate,4.14,116260,fiction,3643.44,0,7.99,226,"Amazon Digital Services,  Inc.",456
207,1971,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,Unknown,Intermediate,4.13,135978,fiction,1815.45,1089.27,3.99,227,"Amazon Digital Services,  Inc.",455
208,1982,Different Seasons,Stephen King,eng,Intermediate,4.34,105961,fiction,5000.45,3000.27,10.99,227,Simon and Schuster Digital Sales Inc,455
209,1953,The Little House Collection,"Laura Ingalls Wilder, Garth Williams",Unknown,Intermediate,4.33,124320,fiction,5195.91,3117.546,11.47,228,Random House LLC,453
210,1998,The Girls' Guide to Hunting and Fishing,Melissa Bank,Unknown,Novice,3.29,113977,nonfiction,448.47,0,0.99,228,"Amazon Digital Services,  Inc.",453
211,2012,Wool Omnibus,Hugh Howey,eng,Intermediate,4.24,81982,fiction,2250.49,1350.294,4.99,229,Penguin Group (USA) LLC,451
212,2002,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,en-US,Intermediate,4.26,118576,fiction,4792.5,2875.5,10.65,230,Random House LLC,450
213,1997,The Power of Now,Eckhart Tolle,eng,Intermediate,4.1,104549,fiction,4771.2,2862.72,10.65,231,Penguin Group (USA) LLC,448
214,2012,Let's Pretend This Never Happened (A Mostly True Memoir),Jenny  Lawson,eng,Intermediate,3.9,118475,fiction,443.52,266.112,0.99,231,"Amazon Digital Services,  Inc.",448
215,2006,The Lies of Locke Lamora,Scott Lynch,eng,Intermediate,4.3,118751,fiction,1324.57,794.742,2.99,234,Simon and Schuster Digital Sales Inc,443
216,1995,Sabriel,Garth Nix,en-US,Intermediate,4.17,137047,fiction,8811.18,5286.708,19.98,235,Random House LLC,441
217,2009,Dead and Gone,Charlaine Harris,eng,Intermediate,4.01,145157,fiction,2175.64,1305.384,4.99,238,Random House LLC,436
218,2013,The Storyteller,Jodi Picoult,eng,Intermediate,4.26,109313,fiction,430.65,0,0.99,239,"Amazon Digital Services,  Inc.",435
219,2011,Obsidian,Jennifer L. Armentrout,eng,Intermediate,4.23,164832,fiction,5191.67,3115.002,11.99,240,Penguin Group (USA) LLC,433
220,1982,"Life, the Universe and Everything",Douglas Adams,eng,Intermediate,4.19,131562,fiction,2593.67,1556.202,5.99,240,Hachette Book Group,433
221,2013,Crown of Midnight,Sarah J. Maas,en-CA,Famous,4.49,160485,fiction,426.69,256.014,0.99,241,"Amazon Digital Services,  Inc.",431
222,2004,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,eng,Intermediate,4.18,126864,fiction,425.7,255.42,0.99,242,Random House LLC,430
223,2008,Half Broke Horses: A True Life Novel,Jeannette Walls,eng,Intermediate,4.05,110597,fiction,5107.74,3064.644,11.99,244,Penguin Group (USA) LLC,426
224,1987,Mort,Terry Pratchett,eng,Intermediate,4.22,128450,fiction,3821.22,2292.732,8.97,244,"Amazon Digital Services,  Inc.",426
225,2010,"The Iron King (The Iron Fey, #1) ",Julie Kagawa,eng,Intermediate,3.92,158063,fiction,420.75,252.45,0.99,245,Macmillan,425
226,1985,Lonesome Dove,Larry McMurtry,en-US,Famous,4.47,111498,fiction,1687.77,0,3.99,246,"Amazon Digital Services,  Inc.",423
227,2003,Stiff: The Curious Lives of Human Cadavers,Mary Roach,eng,Intermediate,4.05,122502,nonfiction,4473,2683.8,10.65,248,Random House LLC,420
228,2011,Bloodlines,Richelle Mead,en-US,Intermediate,4.22,140599,fiction,413.82,248.292,0.99,249,Macmillan,418
229,1998,Ender's Shadow,Orson Scott Card,eng,Intermediate,4.3,115521,nonfiction,411.84,0,0.99,250,"Amazon Digital Services,  Inc.",416
230,2009,Twenties Girl,Sophie Kinsella,eng,Intermediate,3.82,119105,fiction,2070.85,1242.51,4.99,251,Random House LLC,415
231,1982,Schindler's Ark,Thomas Keneally,eng,Intermediate,4.34,108338,fiction,2537.9,1522.74,6.19,254,"Amazon Digital Services,  Inc.",410
232,1970,The Bluest Eye,Toni Morrison,eng,Intermediate,3.99,109944,fiction,1219.92,0,2.99,255,"Amazon Digital Services,  Inc.",408
233,2009,The White Queen,Philippa Gregory,eng,Intermediate,3.9,119739,fiction,1685.04,1011.024,4.13,255,"Amazon Digital Services,  Inc.",408
234,1965,The Autobiography of Malcolm X,"Malcolm X, Alex Haley",eng,Intermediate,4.29,124805,nonfiction,2025.94,1215.564,4.99,256,Random House LLC,406
235,1989,Preludes & Nocturnes,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",eng,Intermediate,4.3,122540,nonfiction,2251.8,1351.08,5.56,257,"Amazon Digital Services,  Inc.",405
236,1999,Seabiscuit,Laura Hillenbrand,en-US,Intermediate,4.2,111497,fiction,1007.5,604.5,2.5,258,HarperCollins Publishers,403
237,2003,Shutter Island,Dennis Lehane,eng,Intermediate,4.07,113718,fiction,4270.65,2562.39,10.65,259,Penguin Group (USA) LLC,401
240,2011,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,eng,Intermediate,3.81,110481,fiction,392.04,235.224,0.99,262,"Amazon Digital Services,  Inc.",396
243,2014,Cress,Marissa Meyer,eng,Famous,4.46,162069,nonfiction,1154.14,692.484,2.99,268,Macmillan,386
244,2010,Just Kids,Patti Smith,en-US,Intermediate,4.14,106542,fiction,766.15,459.69,1.99,269,Random House LLC,385
245,1997,Phaidon Press,Phaidon Press,eng,Intermediate,3.79,102746,fiction,3060.17,1836.102,7.99,270,Penguin Group (USA) LLC,383
246,2001,Jemima J,Jane Green,en-US,Intermediate,3.62,101436,fiction,758.19,0,1.99,271,"Amazon Digital Services,  Inc.",381
248,1996,A Fine Balance,Rohinton Mistry,eng,Intermediate,4.34,99252,fiction,1136.2,681.72,2.99,272,Simon and Schuster Digital Sales Inc,380
249,1987,Calvin and Hobbes,"Bill Watterson, G.B. Trudeau",en-US,Famous,4.61,117788,nonfiction,1886.22,1131.732,4.99,273,Penguin Group (USA) LLC,378
250,2006,Specials,Scott Westerfeld,eng,Intermediate,3.77,139168,fiction,1124.24,674.544,2.99,274,"Amazon Digital Services,  Inc.",376
252,2009,Hunted,"P.C. Cast, Kristin Cast",eng,Intermediate,3.93,138103,fiction,1871.25,1122.75,4.99,275,Random House LLC,375
253,2006,For One More Day,Mitch Albom,en-US,Intermediate,4.09,102193,fiction,1488.27,0,3.99,276,"Amazon Digital Services,  Inc.",373
254,1989,Clear and Present Danger,Tom Clancy,eng,Intermediate,4.08,105317,fiction,1115.27,669.162,2.99,276,Hachette Book Group,373
255,1996,Falling Up,Shel Silverstein,en-US,Intermediate,4.33,111779,fiction,366.3,0,0.99,278,"Amazon Digital Services,  Inc.",370
256,2010,Sh*t My Dad Says,Justin Halpern,Unknown,Intermediate,3.98,102560,nonfiction,2775,1665,7.5,278,Hachette Book Group,370
257,1993,Trainspotting,"Irvine Welsh, Eric Lindor Fall",fre,Intermediate,4.07,59453,fiction,1100.32,660.192,2.99,279,Random House LLC,368
258,1952,Foundation and Empire,Isaac Asimov,eng,Intermediate,4.2,105595,fiction,1094.34,0,2.99,280,"Amazon Digital Services,  Inc.",366
259,1997,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",Miguel Ruiz,Unknown,Intermediate,4.12,97016,fiction,4388.34,2633.004,11.99,280,Penguin Group (USA) LLC,366
260,2010,House Rules,Jodi Picoult,en-US,Intermediate,4.01,111239,nonfiction,4084.35,2450.61,11.19,281,HarperCollins Publishers,365
262,1967,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,eng,Intermediate,4.15,134537,fiction,1085.37,651.222,2.99,282,"Amazon Digital Services,  Inc.",363
263,2013,Doctor Sleep,Stephen King,eng,Intermediate,4.1,95276,fiction,357.39,214.434,0.99,283,"Amazon Digital Services,  Inc.",361
264,1998,About a Boy,Nick Hornby,en-US,Intermediate,3.79,101999,fiction,1079.39,647.634,2.99,283,Penguin Group (USA) LLC,361
265,2012,On Dublin Street,Samantha Young,eng,Intermediate,4.24,136761,nonfiction,3905.78,2343.468,10.91,285,Random House LLC,358
266,2008,Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin",eng,Intermediate,4.15,106351,fiction,1064.44,638.664,2.99,286,Macmillan,356
267,1960,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,Unknown,Intermediate,4.12,117582,nonfiction,706.45,423.87,1.99,287,Simon and Schuster Digital Sales Inc,355
268,1987,Watchers,Dean Koontz,Unknown,Intermediate,4.16,109595,fiction,1049.49,0,2.99,289,"Amazon Digital Services,  Inc.",351
269,1902,The Story of My Life,Helen Keller,eng,Intermediate,4.07,107313,nonfiction,347.49,208.494,0.99,289,"Amazon Digital Services,  Inc.",351
270,2009,This Is Where I Leave You,Jonathan Tropper,eng,Intermediate,3.88,98645,fiction,346.5,0,0.99,290,"Amazon Digital Services,  Inc.",350
271,2010,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,en-US,Intermediate,3.7,106336,fiction,344.52,0,0.99,291,"Amazon Digital Services,  Inc.",348
274,2010,Burned: A House of Night Novel,"P.C. Cast, Kristin Cast",eng,Intermediate,3.98,120763,fiction,1019.59,0,2.99,295,"Amazon Digital Services,  Inc.",341
275,1997,Wizard and Glass,"Stephen King, Dave McKean",eng,Intermediate,4.24,105026,fiction,1019.59,611.754,2.99,295,Simon and Schuster Digital Sales Inc,341
276,2013,The Circle,Dave Eggers,eng,Novice,3.46,109412,fiction,3872.6,2323.56,11.39,296,Penguin Group (USA) LLC,340
277,2007,The Invention of Hugo Cabret,Brian Selznick,eng,Intermediate,4.23,132159,fiction,1686.62,0,4.99,297,"Amazon Digital Services,  Inc.",338
278,1932,Brave New World/Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",eng,Intermediate,4.16,108124,fiction,1676.64,0,4.99,298,"Amazon Digital Services,  Inc.",336
280,2014,The Good Girl,Mary Kubica,eng,Intermediate,3.81,100936,fiction,2620.72,1572.432,7.99,303,Random House LLC,328
281,2012,"Fallen Too Far (Too Far, #1)",Abbi Glines,eng,Excellent,4.21,138871,fiction,2875.32,1725.192,8.82,304,Penguin Group (USA) LLC,326
282,2014,Landline,Rainbow Rowell,eng,Intermediate,3.55,113805,fiction,1300.74,0,3.99,304,"Amazon Digital Services,  Inc.",326
283,2008,Tempted,"P.C. Cast, Kristin Cast",eng,Intermediate,3.96,127387,fiction,2759.25,1655.55,8.49,305,HarperCollins Publishers,325
284,2005,No Country for Old Men,Cormac McCarthy,eng,Excellent,4.12,100513,fiction,1611.77,967.062,4.99,306,Simon and Schuster Digital Sales Inc,323
285,2009,Wolf Hall,Hilary Mantel,eng,Intermediate,3.85,102936,fiction,2468.49,1481.094,7.69,307,Penguin Group (USA) LLC,321
286,1986,Howl's Moving Castle,Diana Wynne Jones,eng,Excellent,4.3,123945,fiction,950.82,0,2.99,309,"Amazon Digital Services,  Inc.",318
287,2001,Dreamcatcher,"Stephen King, William Olivier Desmond",fre,Intermediate,3.59,115855,fiction,1576.84,0,4.99,310,"Amazon Digital Services,  Inc.",316
289,1989,The Remains of the Day,Kazuo Ishiguro,eng,Excellent,4.1,105892,nonfiction,1874.87,1124.922,5.99,312,Random House LLC,313
290,2010,The Best of Me,Nicholas Sparks,en-US,Intermediate,3.91,103915,fiction,307.89,184.734,0.99,313,"Amazon Digital Services,  Inc.",311
291,2011,The Sense of an Ending,Julian Barnes,eng,Intermediate,3.7,94968,fiction,306.9,0,0.99,314,"Amazon Digital Services,  Inc.",310
292,1982,A is for Alibi,Sue Grafton,en-US,Intermediate,3.82,116026,fiction,616.9,370.14,1.99,314,"Amazon Digital Services,  Inc.",310
294,2009,Shanghai Girls,Lisa See,eng,Intermediate,3.87,106729,nonfiction,2152.92,1291.752,6.99,315,Penguin Group (USA) LLC,308
295,1908,The Wind in the Willows,"Kenneth Grahame, Gillian Avery",eng,Intermediate,3.98,124612,fiction,10327.3,6196.38,33.86,317,Penguin Group (USA) LLC,305
296,2014,To All the Boys I've Loved Before,Jenny Han,eng,Excellent,4.11,136938,nonfiction,598.99,0,1.99,319,"Amazon Digital Services,  Inc.",301
297,2000,Persepolis,"Marjane Satrapi, Mattias Ripa",eng,Excellent,4.23,117103,fiction,1487.02,892.212,4.99,321,Random House LLC,298
298,1908,A Room with a View,E.M. Forster,eng,Intermediate,3.91,109994,fiction,891.02,0,2.99,321,"Amazon Digital Services,  Inc.",298
299,2010,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,en-US,Intermediate,3.86,136736,fiction,1181.04,0,3.99,322,"Amazon Digital Services,  Inc.",296
300,2008,Lock and Key,Sarah Dessen,eng,Excellent,4.01,120475,nonfiction,885.04,531.024,2.99,322,"Amazon Digital Services,  Inc.",296
301,1995,Naked in Death,J.D. Robb,en-US,Excellent,4.13,78028,fiction,1772.95,1063.77,6.01,323,HarperCollins Publishers,295
302,1994,The Chamber,John Grisham,eng,Intermediate,3.76,102715,fiction,292.05,0,0.99,323,"Amazon Digital Services,  Inc.",295
303,2008,Midnight Sun (Partial Draft),Stephenie Meyer,eng,Excellent,4.03,138118,fiction,290.07,0,0.99,324,"Amazon Digital Services,  Inc.",293
305,2012,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,eng,Intermediate,3.89,94012,fiction,3694.6,2216.76,12.74,326,Hachette Book Group,290
306,2012,Every Day,David Levithan,eng,Intermediate,3.99,121863,fiction,1149.12,689.472,3.99,327,"Amazon Digital Services,  Inc.",288
307,1991,Xenocide,Orson Scott Card,eng,Intermediate,3.77,104467,fiction,1707.15,1024.29,5.99,329,Simon and Schuster Digital Sales Inc,285
310,2006,"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,eng,Famous,4.45,134249,fiction,1412.17,847.302,4.99,330,Simon and Schuster Digital Sales Inc,283
311,2015,A Court of Thorns and Roses,Sarah J. Maas,eng,Excellent,4.29,167848,nonfiction,3650.19,2190.114,12.99,331,"Amazon Digital Services,  Inc.",281
312,2012,E.L. James,E.L. James,Unknown,Excellent,4.13,76876,fiction,1387.22,0,4.99,333,"Amazon Digital Services,  Inc.",278
313,1989,Chicka Chicka Boom Boom,"Bill Martin Jr., John Archambault, Lois Ehlert",eng,Excellent,4.21,105192,fiction,1097.25,658.35,3.99,335,Simon and Schuster Digital Sales Inc,275
314,2009,Smile,Raina Telgemeier,eng,Excellent,4.19,98628,fiction,2618.07,1570.842,9.59,336,HarperCollins Publishers,273
315,1950, Animal Farm & 1984,"George Orwell, Christopher Hitchens",eng,Excellent,4.26,116197,fiction,267.3,0,0.99,338,"Amazon Digital Services,  Inc.",270
316,1996,The Deep End of the Ocean,Jacquelyn Mitchard,en-US,Intermediate,3.84,102733,fiction,267.3,0,0.99,338,"Amazon Digital Services,  Inc.",270
317,2001,The Bonesetter's Daughter,Amy Tan,en-US,Intermediate,3.98,99926,nonfiction,263.34,0,0.99,340,"Amazon Digital Services,  Inc.",266
318,1999,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,eng,Intermediate,3.74,112733,fiction,997.5,0,3.75,340,"Amazon Digital Services,  Inc.",266
319,2012,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,eng,Intermediate,3.75,110552,fiction,1719.85,1031.91,6.49,341,Hachette Book Group,265
320,1979,Flowers in the Attic,V.C. Andrews,eng,Intermediate,3.79,109063,children,1877.82,1126.692,7.14,342,"Amazon Digital Services,  Inc.",263
321,2016,When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",eng,Excellent,4.32,116771,fiction,1041.39,0,3.99,343,"Amazon Digital Services,  Inc.",261
322,1990,Maniac Magee,Jerry Spinelli,eng,Intermediate,3.86,99831,fiction,777.4,0,2.99,344,"Amazon Digital Services,  Inc.",260
323,1999,Invisible Monsters,Chuck Palahniuk,eng,Intermediate,4,54937,fiction,771.42,462.852,2.99,345,Simon and Schuster Digital Sales Inc,258
325,2000,Gathering Blue,Lois Lowry,eng,Intermediate,3.8,114917,fiction,997.5,0,3.99,350,"Amazon Digital Services,  Inc.",250
326,1978,The Westing Game,Ellen Raskin,eng,Excellent,4.03,117108,fiction,997.5,598.5,3.99,350,"Amazon Digital Services,  Inc.",250
327,2014,Red Rising,Pierce Brown,eng,Excellent,4.26,104939,fiction,246.51,147.906,0.99,351,"Amazon Digital Services,  Inc.",249
328,2008,The Way of Shadows,Brent Weeks,en-US,Excellent,4.15,109236,fiction,744.51,446.706,2.99,351,Random House LLC,249
329,1988,The Bean Trees,Barbara Kingsolver,eng,Intermediate,3.94,105032,children,1635.93,981.558,6.57,352,"Amazon Digital Services,  Inc.",249
330,2013,Walking Disaster,Jamie McGuire,eng,Excellent,4.23,134022,fiction,3221.52,0,12.99,353,"Amazon Digital Services,  Inc.",248
331,2014,Words of Radiance,Brandon Sanderson,eng,Famous,4.77,73572,fiction,741.52,444.912,2.99,354,HarperCollins Publishers,248
332,1988,Guess How Much I Love You,"Sam McBratney, Anita Jeram",en-US,Excellent,4.36,104690,fiction,738.53,0,2.99,355,"Amazon Digital Services,  Inc.",247
333,2001,The Fiery Cross,Diana Gabaldon,eng,Excellent,4.26,103552,fiction,1141.14,684.684,4.62,356,Penguin Group (USA) LLC,247
334,1978,Night Shift,"Stephen King, John D. MacDonald",en-GB,Intermediate,3.96,104248,fiction,244.53,146.718,0.99,356,"Amazon Digital Services,  Inc.",247
335,1974,Jaws,Peter Benchley,eng,Intermediate,3.96,102574,fiction,1227.54,736.524,4.99,357,Simon and Schuster Digital Sales Inc,246
336,2005,The History of Love,Nicole Krauss,eng,Intermediate,3.91,98379,fiction,977.55,0,3.99,359,"Amazon Digital Services,  Inc.",245
339,2005,Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",eng,Excellent,4.3,102923,fiction,726.57,435.942,2.99,364,"Amazon Digital Services,  Inc.",243
340,2010,Dead in the Family,Charlaine Harris,en-US,Intermediate,3.88,127379,fiction,1494.45,896.67,6.15,364,"Amazon Digital Services,  Inc.",243
341,1947,La peste,"Albert Camus, Stuart Gilbert",en-US,Intermediate,3.97,95803,fiction,965.58,0,3.99,366,"Amazon Digital Services,  Inc.",242
342,1999,The Reptile Room,"Lemony Snicket, Brett Helquist",eng,Intermediate,3.95,130213,fiction,1202.59,721.554,4.99,367,Simon and Schuster Digital Sales Inc,241
343,2012,Brain on Fire,Susannah Cahalan,eng,Intermediate,4,92849,fiction,2566.65,1539.99,10.65,368,Hachette Book Group,241
344,2007,Wicked Lovely ,Melissa Marr,en-US,Intermediate,3.69,131034,fiction,1197.6,718.56,4.99,370,Simon and Schuster Digital Sales Inc,240
345,1941,Curious George,H.A. Rey,en-CA,Excellent,4.13,105473,fiction,236.61,141.966,0.99,371,"Amazon Digital Services,  Inc.",239
346,1979,Die unendliche Geschichte,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",eng,Excellent,4.17,109110,fiction,953.61,0,3.99,372,"Amazon Digital Services,  Inc.",239
347,1998,A Beautiful Mind,Sylvia Nasar,en-GB,Excellent,4.12,98276,fiction,1544.62,926.772,6.49,373,Random House LLC,238
348,1906,The Jungle,"Upton Sinclair, Earl Lee, Kathleen DeGrave",eng,Intermediate,3.72,97468,fiction,1419.63,851.778,5.99,375,Random House LLC,237
349,2008,The Summoning,Kelley Armstrong,en-US,Excellent,4.03,132285,fiction,471.63,0,1.99,376,"Amazon Digital Services,  Inc.",237
350,1985,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,en-US,Excellent,4.04,102419,nonfiction,1182.63,709.578,4.99,376,Random House LLC,237
351,1978,Storm Island,Ken Follett,en-US,Excellent,4.16,93475,fiction,708.63,0,2.99,376,"Amazon Digital Services,  Inc.",237
352,2000,The Blind Assassin,Margaret Atwood,eng,Intermediate,3.95,98464,nonfiction,1885.64,1131.384,7.99,378,HarperCollins Christian Publishing,236
353,2014,Hollow City,Ransom Riggs,eng,Excellent,4.07,73149,fiction,1642.65,985.59,6.99,380,Penguin Group (USA) LLC,235
354,1999,House of Sand and Fog,Andre Dubus III,eng,Intermediate,3.83,55381,fiction,933.66,560.196,3.99,381,"Amazon Digital Services,  Inc.",234
355,2014,The Girl with All the Gifts,M.R. Carey,eng,Intermediate,3.93,99729,fiction,463.67,278.202,1.99,383,Simon and Schuster Digital Sales Inc,233
356,1930,As I Lay Dying,William Faulkner,eng,Intermediate,3.72,103547,nonfiction,461.68,277.008,1.99,385,HarperCollins Publishers,6264
357,1955,Harold and the Purple Crayon,Crockett Johnson,eng,Excellent,4.24,107221,fiction,925.68,0,3.99,385,"Amazon Digital Services,  Inc.",6264
358,2006,"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,eng,Excellent,4.35,137558,nonfiction,2460.15,1476.09,10.65,387,Random House LLC,6237
359,1953,Isaac Asimov,Isaac Asimov,eng,Excellent,4.23,96865,nonfiction,690.69,414.414,2.99,388,HarperCollins Publishers,6237
360,2001,Fool Moon ,Jim Butcher,eng,Excellent,4.04,111371,fiction,687.7,412.62,2.99,389,Macmillan,6210
361,2011,David and Goliath,Malcolm Gladwell,eng,Intermediate,3.9,90083,nonfiction,2509.3,1505.58,10.91,389,Random House LLC,6210
363,1989,Guards! Guards!,Terry Pratchett,eng,Excellent,4.32,108652,fiction,1142.71,0,4.99,392,"Amazon Digital Services,  Inc.",6183
364,2005,The Year of Magical Thinking,Joan Didion,eng,Intermediate,3.86,94590,fiction,909.72,0,3.99,393,"Amazon Digital Services,  Inc.",6156
365,2003,We Need to Talk About Kevin,Lionel Shriver,eng,Excellent,4.07,101343,fiction,5902.92,3541.752,25.89,393,HarperCollins Publishers,6156
366,1973,Rendezvous with Rama,Arthur C. Clarke,eng,Excellent,4.06,93151,fiction,1468.69,881.214,6.47,395,"Amazon Digital Services,  Inc.",6129
367,1988,The Queen of the Damned,Anne Rice,eng,Intermediate,3.86,110693,fiction,223.74,134.244,0.99,397,"Amazon Digital Services,  Inc.",6102
368,1920,The Age of Innocence,"Edith Wharton, Maureen Howard",eng,Intermediate,3.93,102646,fiction,1188.76,713.256,5.26,398,"Amazon Digital Services,  Inc.",6102
369,1976,The Selfish Gene,Richard Dawkins,eng,Excellent,4.11,96564,fiction,897.75,538.65,3.99,400,"Amazon Digital Services,  Inc.",6075
370,2001,Year of Wonders: A Novel of the Plague,Geraldine Brooks,eng,Intermediate,4,104283,fiction,221.76,0,0.99,401,"Amazon Digital Services,  Inc.",6048
371,1992,The Black Echo,Michael Connelly,eng,Excellent,4.08,98591,nonfiction,1274.56,764.736,5.69,401,"Amazon Digital Services,  Inc.",6048
372,1938,Anthem,Ayn Rand,eng,Intermediate,3.62,95620,fiction,1112.77,0,4.99,403,"Amazon Digital Services,  Inc.",6021
373,2011,Gabriel's Inferno,Sylvain Reynard,eng,Excellent,4.02,119633,fiction,1781.77,1069.062,7.99,404,Penguin Group (USA) LLC,6021
374,1978,Cloudy with a Chance of Meatballs,"Judi Barrett, Ron Barrett",eng,Excellent,4.15,104677,fiction,1662.78,997.668,7.49,406,Penguin Group (USA) LLC,5994
375,2010,Major Pettigrew's Last Stand,Helen Simonson,eng,Intermediate,3.87,97745,fiction,660.79,396.474,2.99,408,Simon and Schuster Digital Sales Inc,5967
376,2009,Vision in White,Nora Roberts,eng,Excellent,4.1,103933,fiction,437.8,262.68,1.99,409,Random House LLC,5940
377,2006,The Tenth Circle,Jodi Picoult,eng,Novice,3.48,99170,fiction,3955.6,2373.36,17.98,409,"Amazon Digital Services,  Inc.",5940
378,2011,The Throne of Fire,Rick Riordan,eng,Excellent,4.2,116360,nonfiction,2067.36,1240.416,9.44,411,"Amazon Digital Services,  Inc.",5913
379,2005,Old Man's War,John Scalzi,eng,Excellent,4.23,97653,fiction,1311.81,787.086,5.99,412,Macmillan,5913
380,1992,Gerald's Game,Stephen King,eng,Famous,3.47,100158,fiction,433.82,260.292,1.99,413,"Amazon Digital Services,  Inc.",5886
381,1996,Two for the Dough,Janet Evanovich,eng,Excellent,4.11,116171,nonfiction,2177.82,1306.692,9.99,414,"Amazon Digital Services,  Inc.",5886
382,1931,The Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",Unknown,Excellent,4.14,102348,fiction,1864.03,1118.418,8.59,415,Hachette Book Group,5859
383,1974,The Forever War,Joe Haldeman,eng,Excellent,4.15,87636,fiction,214.83,128.898,0.99,416,"Amazon Digital Services,  Inc.",5859
384,1994,Insomnia,"Stephen King, Bettina Blanch Tyroller",spa,Intermediate,3.79,100972,fiction,2311.05,1386.63,10.65,416,Random House LLC,5859
385,2003,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,eng,Intermediate,3.57,94696,fiction,1072.85,0,4.99,419,"Amazon Digital Services,  Inc.",5805
386,2006,The Blade Itself,Joe Abercrombie,eng,Excellent,4.14,97501,fiction,1717.85,1030.71,7.99,419,Random House LLC,5805
387,2002,The Arctic Incident,Eoin Colfer,eng,Intermediate,3.94,108031,nonfiction,642.85,385.71,2.99,420,"Amazon Digital Services,  Inc.",5805
388,1993,The Shipping News,Annie Proulx,eng,Intermediate,3.83,103151,fiction,1281.86,0,5.99,421,"Amazon Digital Services,  Inc.",5778
390,2015,All the Bright Places,"Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ",eng,Excellent,4.19,132087,fiction,423.87,254.322,1.99,423,HarperCollins Publishers,5751
392,2007,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,Michael Scott,eng,Intermediate,3.84,58396,fiction,1693.88,1016.328,7.99,425,Penguin Group (USA) LLC,5724
393,2011,The Marriage Plot,Jeffrey Eugenides,eng,Novice,3.42,90551,fiction,1080.32,648.192,5.12,427,Random House LLC,5697
394,1998,Hija de la fortuna,"Isabel Allende, Margaret Sayers Peden",eng,Intermediate,3.89,89770,fiction,630.89,0,2.99,428,"Amazon Digital Services,  Inc.",5697
395,2015,Luckiest Girl Alive,Jessica Knoll,eng,Novice,3.48,82504,fiction,2007.6,1204.56,9.56,430,Simon and Schuster Digital Sales Inc,5670
